Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,type,model,chain,Mean_Num_Points,layer_norm2,Loneliness,Vicinty_corr,IQR
hb,3,LD1,12348,0.5625,0.824527922860587,0.961538461538461,1,1,0.000544290488420116,2,Unpooled,esm2,paired_chain,134.273284629414,3.125,,,0.175472077139413
hb,4,LD1,12348,0.458955223880597,0.783505154639175,0.933333333333333,1,1,0.000601992878950283,2,Unpooled,esm2,paired_chain,238.71066162454,3.125,,,0.216494845360825
hb,5,LD1,12348,0.387931034482759,0.746691419141914,0.900826446280992,0.985915492957746,1,0.00065969526948045,2,Unpooled,esm2,paired_chain,406.18981133242,3.125,,,0.239224073815832
hb,6,LD1,12348,0.324324324324324,0.708386935391653,0.865527027128213,0.96551724137931,1,0.000717397660010616,2,Unpooled,esm2,paired_chain,641.586878793187,3.125,,,0.257130305987658
hb,7,LD1,12348,0.274264705882353,0.676110509488154,0.833333333333333,0.944154277667482,1,0.000775100050540783,2,Unpooled,esm2,paired_chain,916.912394769652,3.125,,,0.268043768179329
hb,8,LD1,12348,0.246126340882002,0.649973233404711,0.803571428571429,0.919693246670894,1,0.00083280244107095,2,Unpooled,esm2,paired_chain,1185.33131716968,3.125,,,0.269720013266183
hb,9,LD1,12348,0.231191222570533,0.630815407703852,0.77996138996139,0.897456060815495,1,0.000890504831601117,2,Unpooled,esm2,paired_chain,1410.45806757411,3.125,,,0.266640653111643
hb,10,LD1,12348,0.222863741339492,0.617308654327164,0.763892701859849,0.880544780099888,1,0.000948207222131284,2,Unpooled,esm2,paired_chain,1580.77377407289,3.125,,,0.263236125772725
hb,11,LD1,12348,0.217108554277139,0.608283053826785,0.751375687843922,0.869434717358679,1,0.00100590961266145,2,Unpooled,esm2,paired_chain,1702.89006584303,3.125,,,0.261151663531894
hb,12,LD1,12348,0.210340775558167,0.600300150075038,0.743371685842921,0.860641889503731,1,0.00106361200319162,2,Unpooled,esm2,paired_chain,1789.48152994879,3.125,,,0.260341739428693
hb,13,LD1,12348,0.206103051525763,0.595626035359752,0.738869434717359,0.855488311165892,1,0.00112131439372178,2,Unpooled,esm2,paired_chain,1852.39233789117,3.125,,,0.25986227580614
hb,14,LD1,12348,0.202101050525263,0.5927963981991,0.734867433716859,0.853426713356678,1,0.00117901678425195,2,Unpooled,esm2,paired_chain,1899,3.125,,,0.260630315157579
hb,0,LD1,12515,0,0,1,1,1,0.0207568139759751,8,Att_mat,antiberta2-cssp,cdr3_extracted,19.0000103040732,46.6666666666667,,,1
hb,1,LD1,12515,0.166666666666667,0.666666666666667,1,1,1,0.0237493153659403,8,Att_mat,antiberta2-cssp,cdr3_extracted,35.7523931210007,46.6666666666667,,,0.333333333333333
hb,2,LD1,12515,0.294117647058824,0.714285714285714,0.98,1,1,0.0267418167559055,8,Att_mat,antiberta2-cssp,cdr3_extracted,64.7161330874095,46.6666666666667,,,0.285714285714286
hb,3,LD1,12515,0.25,0.7,0.923076923076923,1,1,0.0297343181458707,8,Att_mat,antiberta2-cssp,cdr3_extracted,113.465795629012,46.6666666666667,,,0.3
hb,4,LD1,12515,0.2,0.672727272727273,0.88,0.988095238095238,1,0.032726819535836,8,Att_mat,antiberta2-cssp,cdr3_extracted,192.780482024544,46.6666666666667,,,0.315367965367965
hb,5,LD1,12515,0.186046511627907,0.647058823529412,0.84,0.954545454545455,1,0.0357193209258012,8,Att_mat,antiberta2-cssp,cdr3_extracted,315.822594771713,46.6666666666667,,,0.307486631016043
hb,6,LD1,12515,0.161290322580645,0.616968349740658,0.8,0.920827694280219,1,0.0387118223157664,8,Att_mat,antiberta2-cssp,cdr3_extracted,493.866758029449,46.6666666666667,,,0.303859344539561
hb,7,LD1,12515,0.139072847682119,0.586508860524417,0.759615384615385,0.885500095347063,1,0.0417043237057316,8,Att_mat,antiberta2-cssp,cdr3_extracted,727.115570485013,46.6666666666667,,,0.298991234822646
hb,8,LD1,12515,0.134453781512605,0.565217391304348,0.723880597014925,0.852631578947369,1,0.0446968250956969,8,Att_mat,antiberta2-cssp,cdr3_extracted,993.775659718287,46.6666666666667,,,0.287414187643021
hb,9,LD1,12515,0.140625,0.547889601063612,0.695847923961981,0.820249914412872,1,0.0476893264856621,8,Att_mat,antiberta2-cssp,cdr3_extracted,1256.73699883564,46.6666666666667,,,0.272360313349261
hb,10,LD1,12515,0.144572286143072,0.534835698826726,0.673336668334167,0.795193847284563,1,0.0506818278756273,8,Att_mat,antiberta2-cssp,cdr3_extracted,1481.88759286546,46.6666666666667,,,0.260358148457837
hb,11,LD1,12515,0.147368421052632,0.524266987862863,0.657828914457229,0.77553353906917,1,0.0536743292655925,8,Att_mat,antiberta2-cssp,cdr3_extracted,1652.1708621418,46.6666666666667,,,0.251266551206307
hb,12,LD1,12515,0.151515151515152,0.51775887943972,0.646815121698602,0.762381190595298,1,0.0566668306555578,8,Att_mat,antiberta2-cssp,cdr3_extracted,1770.4722974992,46.6666666666667,,,0.244622311155578
